bm_1024_dangling_8_ovs_fwd_nat_500
Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
ens4f0-RX Gbit/s,8.40,9.12,9.22,10.42,9.07,8.64,8.63,8.64,8.54,8.39,8.87,8.68,9.00,9.14,9.14,9.16,8.96,9.17,9.42,9.31,9.16,9.31,9.11,9.08,9.71,9.27,9.16,9.35,9.16,9.29,9.13,9.17,9.50,10.16,9.08,8.54,8.64,8.66,8.63,8.67,8.73,8.72,8.82,8.83,8.70,9.29,9.84,9.05,8.64,8.60,8.90,8.99,9.85,8.83,8.91,8.64,8.92,8.88,8.77,8.75,8.70,8.81,8.79,8.80,8.68,8.93,9.38,9.15,9.23,9.39,9.26,9.35,9.54,9.23,9.32,9.47,9.27,9.27,9.21,9.82,9.35,9.46,9.29,9.91,9.05,9.32,9.00,8.82,9.06,9.00,8.87,9.60,9.05,8.73,8.88,8.88,9.04,8.67,8.94,8.79,8.83,8.83,8.94,8.70,9.05,9.03,9.24,8.83,8.66,8.57,8.75,9.55,9.02,9.19,
ens4f0 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ens4f1-TX Gbit/s,8.40,9.12,9.22,10.42,9.07,8.64,8.63,8.64,8.54,8.39,8.87,8.68,9.07,9.15,9.17,9.15,8.95,9.17,9.42,9.31,9.16,9.31,9.11,9.07,9.72,9.26,9.15,9.34,9.16,9.29,9.13,9.15,9.49,10.12,9.05,8.54,8.64,8.66,8.63,8.67,8.73,8.72,8.82,8.83,8.70,9.29,9.84,9.05,8.64,8.60,8.90,8.99,9.85,8.83,8.91,8.64,8.92,8.88,8.77,8.75,8.70,8.81,8.79,8.80,8.68,9.01,9.41,9.15,9.24,9.39,9.26,9.35,9.54,9.23,9.32,9.47,9.26,9.27,9.21,9.83,9.34,9.46,9.29,9.88,9.00,9.30,9.00,8.81,9.06,9.00,8.87,9.62,9.04,8.73,8.88,8.88,9.04,8.67,8.94,8.79,8.83,8.83,8.94,8.70,9.05,9.03,9.24,8.83,8.66,8.57,8.75,9.55,9.02,9.19,
ens4f1 packet dropped,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CPU BM(0-19) Total,17.01,12.59,14.54,13.59,12.51,16.46,14.20,14.32,13.23,13.45,16.10,13.92,15.86,15.69,15.66,14.25,15.58,12.95,15.13,13.23,13.93,14.79,16.39,15.74,13.98,11.37,17.63,12.39,14.27,13.55,13.28,17.51,13.37,11.98,14.74,16.58,11.22,9.57,11.47,11.45,11.13,10.07,10.56,10.87,10.88,12.08,14.03,13.07,14.35,15.38,14.15,12.41,12.16,13.60,17.18,14.00,14.91,13.11,14.14,12.73,14.12,11.85,13.26,13.09,11.41,15.33,13.49,13.47,13.33,14.50,13.23,12.25,13.84,12.49,12.82,13.32,12.62,13.77,13.31,16.44,13.68,13.77,12.07,12.50,11.47,13.14,12.90,11.86,12.77,12.40,12.68,11.40,12.14,10.92,13.12,11.11,10.75,11.86,12.10,9.98,10.91,10.05,11.72,9.92,10.06,12.03,13.78,14.85,14.03,12.71,13.24,13.66,12.43,12.47,13.70,
cpu-0 Total,18.69,15.38,14.74,14.74,14.89,15.38,18.18,17.35,14.58,16.49,15.62,15.46,18.56,14.74,16.67,13.04,14.89,13.98,16.67,12.09,16.84,20.00,18.56,16.84,20.20,16.67,17.02,16.67,15.96,13.98,13.98,13.98,13.19,11.11,14.13,17.20,15.79,11.96,15.46,10.99,10.99,15.62,14.89,10.99,8.99,11.11,18.37,9.09,16.13,18.75,14.89,13.19,15.96,17.89,17.20,13.19,21.21,15.62,14.13,13.19,14.89,10.23,11.11,15.05,13.98,14.13,12.09,13.04,14.89,15.79,15.79,11.24,15.96,18.37,13.98,17.53,17.53,13.19,15.96,18.75,12.09,17.02,13.19,12.22,15.05,15.22,12.22,11.11,17.35,13.04,16.49,12.09,11.11,10.00,15.05,13.04,12.90,7.95,13.98,10.99,10.99,12.90,10.00,15.79,9.09,12.90,13.83,18.37,15.22,16.30,12.22,14.13,13.04,15.79,14.29,
cpu-10 Total,2.97,0.99,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.98,0.00,1.98,1.00,0.00,1.01,1.00,1.00,0.00,0.00,1.98,1.00,0.00,1.00,2.94,0.00,0.00,1.00,0.00,1.00,0.99,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.98,0.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,1.00,1.00,0.00,1.00,1.96,0.00,0.99,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.99,0.00,0.00,0.00,0.99,1.00,1.00,0.00,0.00,0.99,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.01,1.98,0.00,0.99,0.00,1.00,0.99,1.00,0.00,1.00,1.00,0.00,1.01,0.00,0.00,1.00,1.00,1.98,0.00,1.00,1.00,
cpu-11 Total,2.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.99,0.00,0.99,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.98,0.00,0.00,1.98,1.00,1.98,1.00,0.00,1.96,1.00,0.00,0.00,1.00,0.00,1.00,1.01,0.00,1.98,0.99,1.00,1.00,1.00,0.00,1.98,0.00,1.00,1.00,2.00,1.01,0.00,1.98,1.00,1.00,0.99,1.00,1.00,0.00,1.96,0.00,0.99,1.00,0.00,1.98,0.99,0.00,1.98,0.99,1.01,0.99,1.00,1.00,1.00,1.98,0.00,0.00,0.00,1.98,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.99,1.98,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.98,0.00,0.99,0.00,1.96,1.00,0.00,0.00,1.00,0.00,10.11,6.90,14.74,10.87,7.95,10.11,
cpu-12 Total,1.02,0.00,1.00,0.00,1.00,1.98,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.98,0.00,0.00,0.00,0.99,1.00,1.00,1.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,1.00,1.00,1.00,1.98,1.00,0.99,0.00,1.00,1.00,1.00,0.00,0.99,1.01,0.99,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.99,0.00,0.00,1.00,1.00,1.00,0.00,1.98,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.99,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.99,1.00,0.00,0.00,1.98,0.00,0.00,0.00,1.98,0.00,1.98,0.00,0.00,1.00,1.98,0.00,1.98,
cpu-13 Total,2.97,0.00,1.98,0.99,1.00,1.00,2.00,1.98,0.00,1.00,0.99,1.00,1.98,0.00,1.98,1.00,2.94,0.00,0.00,1.00,0.00,1.98,1.00,1.00,0.00,0.00,1.00,1.00,0.00,2.94,0.00,1.98,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.98,0.99,0.00,0.00,1.00,0.00,0.00,0.00,0.99,0.00,1.00,0.00,0.00,1.00,0.00,0.99,1.00,1.00,1.00,1.00,0.00,0.99,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.99,1.00,0.99,1.00,0.00,1.98,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.00,0.00,0.00,1.98,0.00,0.00,1.98,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.96,0.00,0.99,0.00,0.00,1.98,0.00,0.00,1.98,0.00,0.00,0.99,1.00,
cpu-14 Total,2.02,0.00,1.98,0.00,2.00,1.98,1.00,1.00,0.00,0.99,1.00,1.00,1.01,1.00,0.00,0.99,0.00,1.98,0.99,1.00,0.00,2.00,1.01,0.00,0.99,1.00,1.00,1.98,1.00,1.00,1.00,1.00,1.00,1.00,1.98,1.00,1.00,1.00,1.98,0.00,0.00,1.98,0.00,1.00,1.00,0.00,0.00,1.98,1.00,1.00,1.00,0.00,0.99,1.00,1.98,0.99,1.00,1.00,0.99,0.00,1.00,1.98,1.96,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,0.99,1.98,0.00,0.99,0.00,0.99,0.00,1.00,1.98,1.00,0.00,1.98,1.00,1.00,1.00,0.00,1.00,1.00,0.99,0.00,1.00,1.98,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.98,1.00,0.99,0.00,1.98,0.00,1.00,0.00,0.99,1.98,1.00,1.00,0.00,0.00,1.98,
cpu-15 Total,1.00,1.00,0.00,1.00,0.00,1.98,0.00,1.98,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.99,0.00,1.98,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.98,1.00,0.00,0.99,0.00,1.00,1.00,0.00,1.00,0.00,1.01,0.00,0.00,0.99,1.00,1.98,0.00,1.98,0.00,1.00,0.00,1.00,1.00,0.00,1.98,0.00,0.00,0.00,0.00,1.00,0.00,1.98,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.98,0.00,1.98,1.98,1.00,1.98,0.00,0.99,1.01,1.00,0.00,1.00,0.00,0.00,1.00,1.00,2.94,1.00,0.00,1.00,0.00,0.00,1.96,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.99,0.00,0.00,0.99,0.00,1.00,0.00,1.00,0.00,
cpu-16 Total,3.92,1.00,1.00,2.94,1.00,1.98,1.01,1.00,1.00,0.00,2.94,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.98,1.00,0.00,0.99,0.00,1.00,0.00,1.98,1.00,0.00,2.00,1.01,0.00,1.98,0.00,0.00,0.99,0.00,0.99,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.98,0.00,0.99,1.00,1.98,0.00,0.00,1.00,1.98,0.00,1.00,0.00,0.00,1.98,0.99,1.00,0.00,1.98,1.00,1.98,0.00,1.98,1.01,1.00,1.00,1.00,1.00,1.98,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.01,2.00,1.98,0.00,0.00,0.99,0.00,0.99,0.00,0.00,0.99,1.00,0.00,1.00,1.98,1.00,0.00,0.99,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,
