



pt_1024_pinned_4_linux_fwd_nat_500,9.24,6.84,40.11,22.50,17.42,84628550
pt_1024_pinned_4_linux_fwd_nat_1000,18.50,13.88,79.08,44.69,34.20,162676204
pt_1024_pinned_4_ovs_fwd_nat_500,9.77,9.75,43.40,22.03,21.17,567683
pt_1024_pinned_4_ovs_fwd_nat_1000,18.83,18.76,79.89,42.30,37.41,2247295
pt_1024_pinned_4_ovs_fwd_nat_offload_500,10.54,10.54,1.83,0.66,0.91,0
pt_1024_pinned_4_ovs_fwd_nat_offload_1000,20.83,20.79,1.94,0.94,0.78,72551
pt_1024_pinned_4_ovs_fwd_ct_500,9.39,4.57,43.34,24.05,19.09,169999576
pt_1024_pinned_4_ovs_fwd_ct_1000,19.25,9.28,92.14,47.90,44.06,351254462
pt_1024_pinned_8_linux_fwd_nat_500,9.75,9.75,44.32,31.32,12.77,2046
pt_1024_pinned_8_linux_fwd_nat_1000,19.00,19.00,77.46,60.79,16.50,87
pt_1024_pinned_8_ovs_fwd_nat_500,9.16,9.16,39.54,22.36,16.98,0
pt_1024_pinned_8_ovs_fwd_nat_1000,18.74,18.74,79.04,40.24,38.61,311
pt_1024_pinned_8_ovs_fwd_nat_offload_500,10.56,10.55,2.04,0.80,1.00,0
pt_1024_pinned_8_ovs_fwd_nat_offload_1000,21.09,21.04,2.14,1.10,0.82,0
pt_1024_pinned_8_ovs_fwd_ct_500,9.16,7.97,39.86,38.72,0.94,41824925
pt_1024_pinned_8_ovs_fwd_ct_1000,18.83,16.68,85.26,79.47,5.59,75754745
pt_4096_pinned_4_linux_fwd_nat_500,9.33,6.89,40.67,23.66,16.81,85992780
pt_4096_pinned_4_linux_fwd_nat_1000,17.80,13.35,75.99,43.46,32.36,156714857
pt_4096_pinned_4_ovs_fwd_nat_500,9.37,9.36,42.45,21.13,21.10,200896
pt_4096_pinned_4_ovs_fwd_nat_1000,17.94,17.88,75.22,40.75,34.26,2226805
pt_4096_pinned_4_ovs_fwd_nat_offload_500,10.36,10.35,2.03,0.69,1.11,20618
pt_4096_pinned_4_ovs_fwd_nat_offload_1000,20.69,20.66,1.98,0.95,0.80,149763
pt_4096_pinned_4_ovs_fwd_ct_500,9.85,5.00,47.23,26.60,20.44,171001900
pt_4096_pinned_4_ovs_fwd_ct_1000,19.31,10.50,96.53,53.23,43.11,310530178
pt_4096_pinned_8_linux_fwd_nat_500,9.31,9.31,39.25,31.04,8.01,0
pt_4096_pinned_8_linux_fwd_nat_1000,19.11,19.11,79.76,59.64,19.93,0
pt_4096_pinned_8_ovs_fwd_nat_500,9.83,9.83,39.52,22.68,16.65,0
pt_4096_pinned_8_ovs_fwd_nat_1000,20.54,20.54,84.13,42.71,41.25,0
pt_4096_pinned_8_ovs_fwd_nat_offload_500,10.53,10.52,2.27,0.96,1.06,0
pt_4096_pinned_8_ovs_fwd_nat_offload_1000,20.90,20.86,2.06,1.03,0.81,0
pt_4096_pinned_8_ovs_fwd_ct_500,9.37,8.35,42.68,40.91,1.57,35876972
pt_4096_pinned_8_ovs_fwd_ct_1000,20.35,18.15,93.87,88.72,4.96,77793238
pt_8192_pinned_4_linux_fwd_nat_500,9.59,7.37,42.96,24.36,18.40,78168296
pt_8192_pinned_4_linux_fwd_nat_1000,18.25,13.80,81.48,46.83,34.49,156791680
pt_8192_pinned_4_ovs_fwd_nat_500,9.26,9.25,40.02,21.35,18.45,228214
pt_8192_pinned_4_ovs_fwd_nat_1000,18.82,18.80,80.02,42.92,36.93,695308
pt_8192_pinned_4_ovs_fwd_nat_offload_500,10.58,10.58,1.91,0.67,1.02,0
pt_8192_pinned_4_ovs_fwd_nat_offload_1000,20.74,20.71,1.86,0.91,0.73,8864
pt_8192_pinned_4_ovs_fwd_ct_500,9.43,4.62,46.24,26.42,19.64,169300137
pt_8192_pinned_4_ovs_fwd_ct_1000,18.92,9.31,89.29,49.86,39.22,338940230
pt_8192_pinned_8_linux_fwd_nat_500,9.27,9.27,41.21,30.38,10.63,0
pt_8192_pinned_8_linux_fwd_nat_1000,17.89,17.89,73.71,57.87,15.65,0
pt_8192_pinned_8_ovs_fwd_nat_500,9.40,9.40,40.84,20.02,20.63,0
pt_8192_pinned_8_ovs_fwd_nat_1000,19.48,19.48,78.12,38.53,39.40,0
pt_8192_pinned_8_ovs_fwd_nat_offload_500,10.58,10.57,1.57,0.63,0.73,0
pt_8192_pinned_8_ovs_fwd_nat_offload_1000,20.84,20.79,2.09,1.01,0.84,0
pt_8192_pinned_8_ovs_fwd_ct_500,9.28,7.82,42.75,38.70,3.84,51240990
pt_8192_pinned_8_ovs_fwd_ct_1000,17.77,15.80,77.11,76.42,0.52,69397581
sriov_1024_pinned_4_linux_fwd_nat_500,8.83,6.63,38.32,21.57,16.54,77896322
sriov_1024_pinned_4_linux_fwd_nat_1000,18.27,13.56,82.08,43.79,38.12,166689036
