



pt_1024_pinned_4_linux_fwd_nat_500,8.85,6.48,39.45,22.09,17.17,9920468
pt_1024_pinned_4_linux_fwd_nat_1000,16.83,12.43,75.01,43.05,31.77,18372300
pt_1024_pinned_4_ovs_fwd_nat_500,9.07,9.04,39.76,21.90,17.71,107601
pt_1024_pinned_4_ovs_fwd_nat_1000,18.04,17.87,77.80,40.61,37.00,732800
pt_1024_pinned_4_ovs_fwd_nat_offload_500,10.14,10.10,2.72,1.14,1.33,0
pt_1024_pinned_4_ovs_fwd_nat_offload_1000,20.17,19.92,3.44,1.80,1.40,138657
pt_1024_pinned_4_ovs_fwd_ct_500,8.87,3.96,40.89,22.76,17.96,20561873
pt_1024_pinned_4_ovs_fwd_ct_1000,19.57,9.20,89.75,49.58,40.02,43390986
pt_1024_pinned_8_linux_fwd_nat_500,9.18,9.19,41.86,28.74,12.94,68
pt_1024_pinned_8_linux_fwd_nat_1000,18.90,18.90,75.64,57.31,18.17,203
pt_1024_pinned_8_ovs_fwd_nat_500,8.69,8.69,36.55,20.29,16.08,0
pt_1024_pinned_8_ovs_fwd_nat_1000,18.51,18.51,74.03,41.76,32.10,422
pt_1024_pinned_8_ovs_fwd_nat_offload_500,10.15,10.00,2.68,1.35,1.10,0
pt_1024_pinned_8_ovs_fwd_nat_offload_1000,20.50,19.79,5.91,3.52,2.18,0
pt_1024_pinned_8_ovs_fwd_ct_500,9.46,8.18,44.26,40.15,2.95,5359173
pt_1024_pinned_8_ovs_fwd_ct_1000,18.93,17.28,77.77,75.98,1.57,6873348
pt_4096_pinned_4_linux_fwd_nat_500,8.86,6.64,40.07,23.09,16.76,9285282
pt_4096_pinned_4_linux_fwd_nat_1000,17.60,13.09,75.85,44.74,30.91,18888193
pt_4096_pinned_4_ovs_fwd_nat_500,9.82,9.82,44.13,22.96,20.98,40856
pt_4096_pinned_4_ovs_fwd_nat_1000,18.60,18.58,79.19,43.25,35.75,68398
pt_4096_pinned_4_ovs_fwd_nat_offload_500,10.20,10.17,2.68,1.05,1.38,0
pt_4096_pinned_4_ovs_fwd_nat_offload_1000,20.47,20.18,5.37,3.37,1.75,142926
pt_4096_pinned_4_ovs_fwd_ct_500,8.76,4.19,42.02,23.82,17.97,19129377
pt_4096_pinned_4_ovs_fwd_ct_1000,18.91,9.40,85.02,48.00,36.88,39786534
pt_4096_pinned_8_linux_fwd_nat_500,9.41,9.42,40.97,30.25,10.59,0
pt_4096_pinned_8_linux_fwd_nat_1000,18.43,18.43,87.86,56.19,31.53,0
pt_4096_pinned_8_ovs_fwd_nat_500,8.89,8.90,39.25,20.86,18.21,0
pt_4096_pinned_8_ovs_fwd_nat_1000,18.09,18.09,75.98,39.83,35.98,0
pt_4096_pinned_8_ovs_fwd_nat_offload_500,10.24,10.16,7.90,4.46,3.20,0
pt_4096_pinned_8_ovs_fwd_nat_offload_1000,20.51,20.10,4.83,3.04,1.57,0
pt_4096_pinned_8_ovs_fwd_ct_500,10.22,7.94,42.99,39.29,3.47,9552869
pt_4096_pinned_8_ovs_fwd_ct_1000,19.44,16.02,86.43,77.45,8.86,14232908
pt_8192_pinned_4_linux_fwd_nat_500,8.76,6.68,40.10,22.97,16.98,8695208
pt_8192_pinned_4_linux_fwd_nat_1000,17.26,13.31,76.66,44.61,31.95,16565975
pt_8192_pinned_4_ovs_fwd_nat_500,9.88,9.88,45.31,23.21,21.91,0
pt_8192_pinned_4_ovs_fwd_nat_1000,17.19,17.14,71.34,39.63,31.54,216492
pt_8192_pinned_4_ovs_fwd_nat_offload_500,10.24,10.21,2.94,1.22,1.42,0
pt_8192_pinned_4_ovs_fwd_nat_offload_1000,20.43,20.17,3.32,1.94,1.16,92227
pt_8192_pinned_4_ovs_fwd_ct_500,9.62,4.75,49.17,28.43,20.54,20392129
pt_8192_pinned_4_ovs_fwd_ct_1000,17.75,8.62,82.09,45.86,36.13,38174510
pt_8192_pinned_8_linux_fwd_nat_500,9.10,9.11,39.08,30.28,8.62,0
pt_8192_pinned_8_linux_fwd_nat_1000,18.52,18.51,74.16,57.93,16.06,0
pt_8192_pinned_8_ovs_fwd_nat_500,9.89,9.89,43.21,23.07,19.94,0
pt_8192_pinned_8_ovs_fwd_nat_1000,18.05,18.05,80.61,39.48,41.04,0
pt_8192_pinned_8_ovs_fwd_nat_offload_500,10.34,10.26,2.82,1.26,1.34,0
pt_8192_pinned_8_ovs_fwd_nat_offload_1000,20.57,20.06,5.09,2.98,1.90,0
pt_8192_pinned_8_ovs_fwd_ct_500,10.19,9.14,47.98,46.43,1.36,4368373
pt_8192_pinned_8_ovs_fwd_ct_1000,21.03,17.90,87.80,86.84,0.80,12812698
sriov_1024_pinned_4_linux_fwd_nat_500,8.39,6.17,37.46,21.27,16.02,9320729
sriov_1024_pinned_4_linux_fwd_nat_1000,17.81,13.43,88.81,45.26,43.46,18378818
sriov_1024_pinned_4_ovs_fwd_nat_500,9.23,9.21,40.85,22.03,18.62,64998
sriov_1024_pinned_4_ovs_fwd_nat_1000,19.41,19.40,84.73,44.46,40.09,35147
sriov_1024_pinned_4_ovs_fwd_nat_offload_500,9.94,9.90,2.06,1.05,0.78,0
sriov_1024_pinned_4_ovs_fwd_nat_offload_1000,20.25,19.98,3.32,2.01,1.09,66357
sriov_1024_pinned_4_ovs_fwd_ct_500,8.79,4.26,41.79,23.02,18.66,19039287
sriov_1024_pinned_4_ovs_fwd_ct_1000,18.51,8.60,83.40,46.77,36.54,41600129
